compétence1,compétence2,compétence3,compétence4,hobby1,hobby2,hobby3,Personnalite
informatique,cognitique,ia,travail d'équipe,volontariat,art,musique,Dévoué & Amical & Honnête
programmation,facteur humain,ccu,développement web,volontariat,musique,vide,Dévoué & Amical & Honnête
cognitive,facteur humain,programmation,ia,art,sports extrêmes,vide,Dévoué & Amical & Honnête
informatique,programmation,bureautique,vide,volontariat,vide,vide,Dévoué & Amical & Honnête
travail d'équipe,programmation,ia,ccu,voyages,vide,vide,Ambitieux & Determiné & Responsable
programmation,développement web,ccu,facteur humain,musique,voyages,sports extrêmes,Ambitieux & Determiné & Responsable
informatique,facteur humain,cognitique,programmation,lecture,voyages,jeux-vidéo,Dévoué & Amical & Honnête
bureautique,gestion de base de données,programmation,facteur humain,arts-martiaux,voyages,danse,Dévoué & Amical & Honnête
bureautique,développement web,vide,vide,philosophie,lecture,théâtre,Dévoué & Amical & Honnête
travail d'équipe,facteur humain,communication,vide,jeux-vidéo,lecture,vide,Dévoué & Amical & Honnête
informatique,programmation,vide,vide,sports d'équipe,musique,art,Ambitieux & Determiné & Responsable
programmation,développement web,ia,vide,voyages,volontariat,art,Dévoué & Amical & Honnête
imagerie numérique,développement web,gestion de base de données,programmation,musique,philosophie,vide,Dévoué & Amical & Honnête
informatique,bureautique,ccu,programmation,volontariat,sports extrêmes,voyages,Ambitieux & Determiné & Responsable
gestion de base de données,informatique,programmation,développement web,volontariat,arts-martiaux,vide,Aventureux & Imaginatif & Intuitif
cognitique,développement web,ia,bureautique,sports extrêmes,voyages,volontariat,Calme & Charismatique & Coopératif
travail d'équipe,ia,ccu,informatique,voyages,sports d'équipes,vide,Aventureux & Imaginatif & Intuitif
travail d'équipe,tests utilisateurs,développement web,bureautique,lecture,musique,sports d'équipe,Dévoué & Amical & Honnête
programmation,gestion de base de données,ia,travail d'équipe,photographie,voyages,vide,Calme & Charismatique & Coopératif
programmation,développement web,gestion de base de données,travail d'équipe,sports d'équipe,volontariat,jeux video,Ambitieux & Determiné & Responsable
ccu,facteur humain,ia,développement web,danse,lecture,théâtre,Ambitieux & Determiné & Responsable
communication,développement web,bureautique,cognitique,théâtre,voyages,philosophie,Aventureux & Imaginatif & Intuitif
programmation,facteur humain,ccu,ia,voyages,photographie,audiovisuel,Ambitieux & Determiné & Responsable
développement web,programmation,informatique,vide,voyages,danse,sports extrêmes,Ambitieux & Determiné & Responsable
informatique,imagerie numérique,facteur humain,ccu,musique,sports extrêmes,vide,Dévoué & Amical & Honnête
ccu,facteur humain,développement web,vide,musique,lecture,sports extrêmes,Aventureux & Imaginatif & Intuitif
tests utilisateurs,ccu,travail d'équipe,vide,lecture,audiovisuel,vide,Aventureux & Imaginatif & Intuitif
développement web,ccu,facteur humain,vide,art,voyages,volontariat,Ambitieux & Determiné & Responsable
informatique,ccu,facteur humain,travail d'équipe,voyages,sports extrêmes,volontariat,Calme & Charismatique & Coopératif
informatique,programmation,gestion de base de données,ccu,audiovisuel,volontariat,lecture,Ambitieux & Determiné & Responsable
bureautique,programmation,facteur humain,gestion de base de données,volontariat,lecture,photographie,Dévoué & Amical & Honnête
programmation,facteur humain,ia,vide,sports extrêmes,sports d'équipe,voyages,Calme & Charismatique & Coopératif
informatique,communication,imagerie numérique,vide,art,lecture,sports extrêmes,Calme & Charismatique & Coopératif
facteur humain,ccu,ia,imagerie numérique,voyages,sports d'équipes,vide,Dévoué & Amical & Honnête
facteur humain,ccu,tests utilisateurs,vide,musique,sports extrêmes,vide,Aventureux & Imaginatif & Intuitif
développement web,travail d'équipe,facteur humain,communication,voyages,jeux-vidéo,arts matiaux,Dévoué & Amical & Honnête
ia,travail d'équipe,vide,vide,art,jeux-vidéo,sports d'équipes,Calme & Charismatique & Coopératif
gestion de base de données,développement web,travail d'équipe,tests utilisateurs,lecture,sports d'équipe,arts-martiaux,Ambitieux & Determiné & Responsable
travail d'équipe,programmation,communication,facteur humain,sports d'équipes,théâtre,vide,Aventureux & Imaginatif & Intuitif
